id_prefix,id_mid,match,FRN_NameAsPublished,AIANNH_Geoname_Full,STATES,AIANNHCE,AIANNHNS
TRBF,VDLSCH,nd,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan,Lac Vieux Desert Reservation,MI,1830,02418993
TRBF,LVGSPT,nd,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",Las Vegas Indian Colony,NV,1915,00853945
AKNF,LEVLCK,nd,Levelock Village,Levelock ANVSA,AK,6865,02418684
AKNF,LIMEVL,nod,Lime Village,Lime Village ANVSA,AK,6875,02418686
TRBF,LRVOWA,nd,"Little River Band of Ottawa Indians, Michigan",Little River Reservation,MI,1960,02418998
TRBF,LSHELL,none,Little Shell Tribe of Chippewa Indians of Montana,,,,
TRBF,LTROWA,nd,"Little Traverse Bay Bands of Odawa Indians, Michigan",Little Traverse Bay Reservation,MI,1963,02419000
TRBF,LPPTSH,nd,Lone Pine Paiute-Shoshone Tribe,Lone Pine Reservation,CA,1970,00275865
TRBF,LCCLCU,nd,"Los Coyotes Band of Cahuilla and Cupeno Indians, California",Los Coyotes Reservation,CA,1995,00272219
AKNF,LOUDEN,nd,Louden Tribe (previously listed as Galena Village (aka Louden Village)),Galena ANVSA,AK,6525,02418594
TRBF,LVLKPT,nd,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",Lovelock Indian Colony,NV,2015,00850417
TRBF,LWBRSX,nd,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",Lower Brule Reservation,SD,2030,01267015
TRBF,LELWHA,nd,Lower Elwha Tribal Community,Lower Elwha Reservation,WA,2040,01528424
TRBF,LWSXMN,nd,Lower Sioux Indian Community in the State of Minnesota,Lower Sioux Indian Community,MN,2055,00647264
TRBF,LUMMIT,nd,Lummi Tribe of the Lummi Reservation,Lummi Reservation,WA,2070,01511578
TRBF,LYTTON,n,Lytton Rancheria of California,Lytton Rancheria,CA,2075,00227877
TRBF,MAKAHN,nd,Makah Indian Tribe of the Makah Indian Reservation,Makah Indian Reservation,WA,2085,01511577
TRBF,MCPOMO,n,"Manchester Band of Pomo Indians of the Manchester Rancheria, California",Manchester-Point Arena Rancheria,CA,2100,01985200
AKNF,MNLYHS,nd,Manley Hot Springs Village,Manley Hot Springs ANVSA,AK,6900,02418694
AKNF,MNOKTK,nd,Manokotak Village,Manokotak ANVSA,AK,6905,02418696
TRBF,MZNTDG,nd,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",Manzanita Reservation,CA,2115,00245463
TRBF,MPQUOT,nd,Mashantucket Pequot Indian Tribe,Mashantucket Pequot Reservation,CT,2145,00212541
TRBF,MWMPNG,nd,Mashpee Wampanoag Tribe,Mashpee Wampanoag Trust Land,MA,2147,02786720
TRBF,MBNPWT,nd,Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan,Match-e-be-nash-she-wish Band of Pottawatomi Reservation,MI,2150,02547776
AKNF,MCGRTH,nd,McGrath Native Village,McGrath ANVSA,AK,6895,02418700
TRBF,MCHPDA,n,"Mechoopda Indian Tribe of Chico Rancheria, California",Mechoopda TDSA,CA,8450,02418703
TRBF,MNMNEE,nd,Menominee Indian Tribe of Wisconsin,Menominee Reservation,WI,2175,01831784
AKNF,MNTSTA,n,Mentasta Traditional Council,Mentasta Lake ANVSA,AK,6945,02418707
