"neid_prefix","neid_mid","FRN_NameAsPublished","FRN_Date"
TRBF,SCFXMO,"Sac & Fox Nation of Missouri in Kansas and Nebraska",12/11/2024
TRBF,SCFXMS,"Sac & Fox Tribe of the Mississippi in Iowa",12/11/2024
TRBF,SCFXOK,"Sac & Fox Nation, Oklahoma",12/11/2024
TRBF,SCLARA,"Pueblo of Santa Clara, New Mexico",12/11/2024
TRBF,SCROIX,"St. Croix Chippewa Indians of Wisconsin",12/11/2024
TRBF,SCTTSV,"Scotts Valley Band of Pomo Indians of California",12/11/2024
TRBF,SDMNGO,"Santo Domingo Pueblo",12/11/2024
TRBF,SFLIPE,"Pueblo of San Felipe, New Mexico",12/11/2024
TRBF,SGINAW,"Saginaw Chippewa Indian Tribe of Michigan",12/11/2024
TRBF,SHAWNT,"Shawnee Tribe",12/11/2024
TRBF,SHLWBY,"Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation",12/11/2024
TRBF,SHNNCK,"Shinnecock Indian Nation",12/11/2024
TRBF,SHRWDV,"Sherwood Valley Rancheria of Pomo Indians of California",12/11/2024
TRBF,SHSMWK,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",12/11/2024
TRBF,SILDFN,"Pueblo of San Ildefonso, New Mexico",12/11/2024
TRBF,SILETZ,"Confederated Tribes of Siletz Indians of Oregon",12/11/2024
TRBF,SKLLVY,"Skull Valley Band of Goshute Indians of Utah",12/11/2024
TRBF,SKOKOM,"Skokomish Indian Tribe",12/11/2024
TRBF,SKSTTL,"Sauk-Suiattle Indian Tribe",12/11/2024
TRBF,SMARIE,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",12/11/2024
TRBF,SMMTLK,"Summit Lake Paiute Tribe of Nevada",12/11/2024
TRBF,SMNLFL,"Seminole Tribe of Florida",12/11/2024
TRBF,SMNLOK,"The Seminole Nation of Oklahoma",12/11/2024
TRBF,SNCCYG,"Seneca-Cayuga Nation",12/11/2024
TRBF,SNCNAT,"Seneca Nation of Indians",12/11/2024
TRBF,SNCRLS,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",12/11/2024
