"neid_prefix","neid_mid","match","AIANNH_geoname_full","STATES","AIANNHCE","AIANNHNS"
TRBF,PNCANE,n,"Ponca (NE) Trust Land",IA~NE,2900,02419061
TRBF,PNCAOK,nd,"Ponca OTSA",OK,5800,02419180
TRBF,PNCAOK,n,"Kaw/Ponca joint-use OTSA",OK,5950,02418647
TRBF,PNOLVL,nd,"Pinoleville Rancheria",CA,2820,00230747
TRBF,POARCH,nd,"Poarch Creek Reservation",AL~FL,2865,02419057
TRBF,POJOAQ,nd,"Pueblo of Pojoaque",NM,2990,00937193
TRBF,POKAGN,nd,"Pokagon Reservation",IN~MI,2890,02419058
TRBF,PRAIRB,nd,"Prairie Band of Potawatomi Nation Reservation",KS,2980,01934332
TRBF,PRAIRI,nd,"Prairie Island Indian Community",MN,2985,00654519
TRBF,PRSCTT,nd,"Yavapai-Prescott Reservation",AZ,4710,00036443
TRBF,PSKNML,n,"Paskenta Rancheria",CA,2685,02419050
TRBF,PSMQDY,nd,"Indian Township Reservation",ME,1575,02418973
TRBF,PSMQDY,nd,"Passamaquoddy Trust Land",ME,2695,02419052
TRBF,PSMQDY,nd,"Pleasant Point Reservation",ME,2850,00573503
TRBF,PSQYQI,nd,"Pascua Pueblo Yaqui Reservation",AZ,2680,02419049
TRBF,PTTERV,none,"",,NA,NA
TRBF,PTTRUT,nd,"Paiute (UT) Reservation",UT,2625,01436088
TRBF,PUYLLP,nd,"Puyallup Reservation",WA,3000,01514929
TRBF,PYCKCH,n,"Picayune Rancheria",CA,2775,01670201
TRBF,PYRMDL,nd,"Pyramid Lake Paiute Reservation",NV,3010,00857503
TRBF,QUAPAW,nd,"Quapaw OTSA",OK,5810,02419193
TRBF,QUARTZ,nd,"Quartz Valley Reservation",CA,3020,00265103
TRBF,QUECHN,nd,"Fort Yuma Indian Reservation",AZ~CA,1280,00242378
TRBF,QUILTE,nd,"Quileute Reservation",WA,3030,01511646
TRBF,QUINLT,nd,"Quinault Reservation",WA,3040,01531838
TRBF,RAMONA,n,"Ramona Village",CA,3070,00273181
TRBF,RDDING,nd,"Redding Rancheria",CA,3095,01682404
TRBF,REDCLF,nd,"Red Cliff Reservation",WI,3085,01577204
TRBF,REDLKE,nd,"Red Lake Reservation",MN,3100,01934331
TRBF,REDWDV,nd,"Redwood Valley Rancheria",CA,3115,00231455
TRBF,RINCON,nd,"Rincon Reservation",CA,3165,00273286
TRBF,RNDVLY,nd,"Round Valley Reservation",CA,3250,00267196
TRBF,RNOSPK,nd,"Reno-Sparks Indian Colony",NV,3130,00853944
TRBF,ROBNSN,nd,"Robinson Rancheria",CA,3195,00234577
TRBF,ROCKYB,nd,"Rocky Boy's Reservation",MT,3205,00767936
TRBF,ROSEBD,nd,"Rosebud Indian Reservation",SD,3235,01266248
TRBF,RPHNCK,nd,"Rappahannock TDSA",VA,8700,02813263
TRBF,SAMISH,nd,"Samish TDSA",WA,8750,02419206
TRBF,SANDIA,nd,"Sandia Pueblo",NM,3370,01934343
TRBF,SANTSX,nd,"Santee Reservation",NE,3565,01884912
TRBF,SBRMNS,n,"Stockbridge Munsee Community",WI,4015,01577203
TRBF,SCFXMO,nd,"Sac and Fox Nation Reservation",KS~NE,3285,00479832
TRBF,SCFXMO,n,"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area",KS,4910,02418987
TRBF,SCFXMS,nd,"Sac and Fox/Meskwaki Settlement",IA,3280,00463420
TRBF,SCFXOK,nd,"Sac and Fox OTSA",OK,5820,01925067
TRBF,SCLARA,nd,"Santa Clara Pueblo",NM,3495,00937196
TRBF,SCROIX,nd,"St. Croix Reservation",WI,3305,01843172
TRBF,SCTTSV,none,"",,NA,NA
TRBF,SDMNGO,nd,"Santo Domingo Pueblo",NM,3585,00937201
TRBF,SDMNGO,n,"San Felipe Pueblo/Santo Domingo Pueblo joint-use area",NM,4940,02419125
TRBF,SFLIPE,nd,"San Felipe Pueblo",NM,3400,00910614
