"id_AK","id_temp","FRN_NameAsPublished","Census_RaceEthCode"
"TR48",413,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",6307
"TR48",409,"Round Valley Indian Tribes, Round Valley Reservation, California",6222
"TR48",421,"Sac & Fox Nation of Missouri in Kansas and Nebraska",6230
"TR48",423,"Sac & Fox Nation, Oklahoma",6231
"TR48",422,"Sac & Fox Tribe of the Mississippi in Iowa",6232
"TR48",431,"Saginaw Chippewa Indian Tribe of Michigan",5667
"AKNV",484,"Saint Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)",5176
"TR48",470,"Saint Regis Mohawk Tribe",5869
"AKNV",453,"Salamatof Tribe",5085
"TR48",471,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona",6105
"TR48",415,"Samish Indian Nation",6198
"TR48",420,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",5520
"TR48",460,"San Juan Southern Paiute Tribe of Arizona",6058
"TR48",467,"San Pasqual Band of Diegueno Mission Indians of California",5782
"TR48",472,"Santa Rosa Band of Cahuilla Indians, California",5563
"TR48",476,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",5576
"TR48",492,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",5703
"TR48",463,"Santee Sioux Nation, Nebraska",6308
"TR48",428,"Santo Domingo Pueblo",6180
"TR48",449,"Sauk-Suiattle Indian Tribe",6199
"TR48",474,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",5668
"TR48",426,"Scotts Valley Band of Pomo Indians of California",6139
"AKNV",452,"Seldovia Village Tribe",5075
"TR48",455,"Seminole Tribe of Florida",6250
"TR48",458,"Seneca Nation of Indians",5870
"TR48",457,"Seneca-Cayuga Nation",5872
"AKNV",434,"Shageluk Native Village",5076
"TR48",437,"Shakopee Mdewakanton Sioux Community of Minnesota",6309
"TR48",432,"Shawnee Tribe",6275
"TR48",440,"Sherwood Valley Rancheria of Pomo Indians of California",6140
"TR48",442,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",5974
