"Census_RaceEthCode","Census_Description"
5451,"NATIVE VILLAGE OF TUNUNAK"
5451,"TUNUNAK"
5451,"TUNUNRMIUT RINIT CORP."
5452,"NEW KOLIGANEK VILLAGE COUNCIL"
5452,"KOLIGANEK NATIVES LTD."
5452,"NEW KOLIGANEK"
5453,"NEW STUYAHOK VILLAGE"
5453,"NEW STUYAHOK"
5453,"NEW STUYAHOK TRADITIONAL COUNCIL"
5453,"STUYAHOK LIMITED"
5454,"NEWHALEN VILLAGE"
5454,"NEWHALEN"
5455,"NEWTOK VILLAGE"
5455,"NEWTOK"
5455,"NEWTOK NATIVE CORP."
5455,"NEWTOK VILLAGE COUNCIL"
5456,"NUNAKAUYARMIUT TRIBE"
5456,"NUNAKAUIAK"
5456,"NUNAKAUIAK YUPIK CORP."
5456,"NUNAKAUYARMIUT TRIBE (TOKSOOK BAY)"
5456,"TOKSOOK BAY"
5457,"ORGANIZED VILLAGE OF KWETHLUK"
5457,"KWETHLUK"
5457,"KWETHLUK INC."
5457,"KWETHLUK IRA"
5458,"ORUTSARARMIUT TRADITIONAL NATIVE COUNCIL"
5458,"BETHEL"
5458,"BETHEL NATIVE CORP."
5458,"ONTC"
5458,"ORUTSARARMIUT"
5458,"ORUTSARARMIUT NATIVE VILLAGE"
5458,"ORUTSARARMIUT NATIVE VILLAGE (BETHEL)"
5459,"OSCARVILLE TRADITIONAL VILLAGE"
5459,"OSCARVILLE"
5459,"OSCARVILLE NATIVE CORP."
5460,"PILOT STATION TRADITIONAL VILLAGE"
5460,"PILOT STATION"
5460,"PILOT STATION INC."
5461,"PLATINUM TRADITIONAL VILLAGE"
5461,"ARVIQ INC."
5461,"PLATINUM"
5462,"PORTAGE CREEK VILLAGE (OHGSENAKALE)"
5462,"OHGSENAKALE"
5462,"PORTAGE CREEK"
5462,"PORTAGE CREEK VILLAGE"
5464,"STEBBINS COMMUNITY ASSOCIATION"
5464,"STEBBINS"
5464,"STEBBINS NATIVE CORP"
