"id_AK","id_temp","match","FRN_NameAsPublished","AIANNH_Geoname_Full","STATES","AIANNHCE","AIANNHNS"
"TR48",248,"d","La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California","Campo Indian Reservation","CA",450,270242
"TR48",104,"nd","Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin","Lac Courte Oreilles Reservation","WI",1815,1577192
"TR48",140,"nd","Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin","Lac du Flambeau Reservation","WI",1825,1580845
"TR48",539,"nd","Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan","Lac Vieux Desert Reservation","MI",1830,2418993
"TR48",253,"nd","Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada","Las Vegas Indian Colony","NV",1915,853945
"AKNV",242,"nd","Levelock Village","Levelock ANVSA","AK",6865,2418684
"AKNV",243,"nod","Lime Village","Lime Village ANVSA","AK",6875,2418686
"TR48",249,"nd","Little River Band of Ottawa Indians, Michigan","Little River Reservation","MI",1960,2418998
"TR48",250,"none","Little Shell Tribe of Chippewa Indians of Montana","","",NA,NA
"TR48",251,"nd","Little Traverse Bay Bands of Odawa Indians, Michigan","Little Traverse Bay Reservation","MI",1963,2419000
"TR48",247,"nd","Lone Pine Paiute-Shoshone Tribe","Lone Pine Reservation","CA",1970,275865
"TR48",240,"nd","Los Coyotes Band of Cahuilla and Cupeno Indians, California","Los Coyotes Reservation","CA",1995,272219
"AKNV",246,"nd","Louden Tribe (previously listed as Galena Village (aka Louden Village))","Galena ANVSA","AK",6525,2418594
"TR48",254,"nd","Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada","Lovelock Indian Colony","NV",2015,850417
"TR48",255,"nd","Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota","Lower Brule Reservation","SD",2030,1267015
"TR48",241,"nd","Lower Elwha Tribal Community","Lower Elwha Reservation","WA",2040,1528424
"TR48",256,"nd","Lower Sioux Indian Community in the State of Minnesota","Lower Sioux Indian Community","MN",2055,647264
"TR48",252,"nd","Lummi Tribe of the Lummi Reservation","Lummi Reservation","WA",2070,1511578
"TR48",257,"n","Lytton Rancheria of California","Lytton Rancheria","CA",2075,227877
"TR48",258,"nd","Makah Indian Tribe of the Makah Indian Reservation","Makah Indian Reservation","WA",2085,1511577
"TR48",265,"n","Manchester Band of Pomo Indians of the Manchester Rancheria, California","Manchester-Point Arena Rancheria","CA",2100,1985200
"AKNV",276,"nd","Manley Hot Springs Village","Manley Hot Springs ANVSA","AK",6900,2418694
"AKNV",278,"nd","Manokotak Village","Manokotak ANVSA","AK",6905,2418696
"TR48",292,"nd","Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California","Manzanita Reservation","CA",2115,245463
"TR48",284,"nd","Mashantucket Pequot Indian Tribe","Mashantucket Pequot Reservation","CT",2145,212541
"TR48",291,"nd","Mashpee Wampanoag Tribe","Mashpee Wampanoag Trust Land","MA",2147,2786720
"TR48",259,"nd","Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan","Match-e-be-nash-she-wish Band of Pottawatomi Reservation","MI",2150,2547776
"AKNV",261,"nd","McGrath Native Village","McGrath ANVSA","AK",6895,2418700
"TR48",263,"n","Mechoopda Indian Tribe of Chico Rancheria, California","Mechoopda TDSA","CA",8450,2418703
"TR48",277,"nd","Menominee Indian Tribe of Wisconsin","Menominee Reservation","WI",2175,1831784
"AKNV",279,"n","Mentasta Traditional Council","Mentasta Lake ANVSA","AK",6945,2418707
"TR48",288,"n","Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California","Mesa Grande Reservation","CA",2190,2419013
"TR48",288,"d","Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California","Santa Ysabel Reservation","CA",3550,255932
"TR48",287,"nd","Mescalero Apache Tribe of the Mescalero Reservation, New Mexico","Mescalero Reservation","NM",2205,924240
"AKNV",289,"nd","Metlakatla Indian Community, Annette Island Reserve","Annette Island Reserve","AK",110,1934114
"TR48",271,"n","Miami Tribe of Oklahoma","Miami OTSA","OK",5730,2418711
"TR48",271,"nd","Miami Tribe of Oklahoma","Miami/Peoria joint-use OTSA","OK",5970,2418712
"TR48",267,"n","Miccosukee Tribe of Indians","Miccosukee Reservation","FL",2240,307483
"TR48",290,"n","Middletown Rancheria of Pomo Indians of California","Middletown Rancheria","CA",2255,228627
"TR48",273,"nd","Mi'kmaq Nation (previously listed as Aroostook Band of Micmacs)","Aroostook Band of Micmac Trust Land","ME",115,2562463
"TR48",274,"nd","Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)","Bois Forte Reservation","MN",335,2105053
"TR48",274,"nd","Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)","Fond du Lac Reservation","MN~WI",1125,654521
"TR48",274,"nd","Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)","Grand Portage Reservation","MN",1355,654523
"TR48",274,"nd","Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)","Leech Lake Reservation","MN",1940,659096
