"","GEOID","dec.NAME","dec.total","dec.A","dec.AoIC","dec.pct_AIAN","dec.A_AoIC","acs.NAME","acs.total","acs.A","acs.AoIC","acs.pct_AIAN","acs.A_AoIC"
"390","6290","Chickaloon ANVSA, AK",25487,1501,3078,0.120767450072586,0.487654320987654,"Chickaloon ANVSA, AK",27567,1582,3295,0.119526970653317,0.480121396054628
"391","6295","Chignik ANVSA, AK",97,58,69,0.711340206185567,0.840579710144927,"Chignik ANVSA, AK",27,10,23,0.851851851851852,0.434782608695652
"392","6300","Chignik Lagoon ANVSA, AK",72,48,61,0.847222222222222,0.786885245901639,"Chignik Lagoon ANVSA, AK",29,13,22,0.758620689655172,0.590909090909091
"393","6305","Chignik Lake ANVSA, AK",65,55,60,0.923076923076923,0.916666666666667,"Chignik Lake ANVSA, AK",27,17,26,0.962962962962963,0.653846153846154
"394","6310","Chilkat ANVSA, AK",93,67,79,0.849462365591398,0.848101265822785,"Chilkat ANVSA, AK",82,56,68,0.829268292682927,0.823529411764706
"395","6315","Chilkoot ANVSA, AK",410,61,91,0.221951219512195,0.67032967032967,"Chilkoot ANVSA, AK",787,73,113,0.143583227445997,0.646017699115044
"396","6325","Chistochina ANVSA, AK",50,37,44,0.88,0.840909090909091,"Chistochina ANVSA, AK",58,51,51,0.879310344827586,1
"397","6330","Chitina ANVSA, AK",78,37,50,0.641025641025641,0.74,"Chitina ANVSA, AK",100,42,51,0.51,0.823529411764706
"398","6335","Chuathbaluk ANVSA, AK",104,92,99,0.951923076923077,0.929292929292929,"Chuathbaluk ANVSA, AK",82,78,80,0.975609756097561,0.975
"399","6340","Chuloonawick ANVSA, AK",1,0,1,1,0,"Chuloonawick ANVSA, AK",0,0,0,NA,NA
"400","6350","Circle ANVSA, AK",91,84,84,0.923076923076923,1,"Circle ANVSA, AK",54,44,48,0.888888888888889,0.916666666666667
"401","6360","Clarks Point ANVSA, AK",67,62,63,0.940298507462687,0.984126984126984,"Clarks Point ANVSA, AK",25,20,22,0.88,0.909090909090909
"402","6365","Copper Center ANVSA, AK",449,177,228,0.507795100222717,0.776315789473684,"Copper Center ANVSA, AK",417,177,224,0.537170263788969,0.790178571428571
"403","6380","Council ANVSA, AK",2,0,1,0.5,0,"Council ANVSA, AK",6,2,2,0.333333333333333,1
"404","6385","Craig ANVSA, AK",1251,243,398,0.31814548361311,0.610552763819096,"Craig ANVSA, AK",1248,174,337,0.270032051282051,0.516320474777448
"405","6390","Crooked Creek ANVSA, AK",90,86,88,0.977777777777778,0.977272727272727,"Crooked Creek ANVSA, AK",17,16,16,0.941176470588235,1
"406","6400","Deering ANVSA, AK",182,168,173,0.950549450549451,0.971098265895954,"Deering ANVSA, AK",227,188,211,0.929515418502203,0.890995260663507
"407","6405","Dillingham ANVSA, AK",2350,1272,1550,0.659574468085106,0.820645161290323,"Dillingham ANVSA, AK",2171,1128,1454,0.669737448180562,0.775790921595598
"408","6415","Dot Lake ANVSA, AK",23,12,16,0.695652173913043,0.75,"Dot Lake ANVSA, AK",0,0,0,NA,NA
"409","6420","Douglas ANVSA, AK",5542,553,1054,0.190184049079755,0.524667931688805,"Douglas ANVSA, AK",6208,735,1419,0.228576030927835,0.517970401691332
"410","6430","Eagle ANVSA, AK",54,27,32,0.592592592592593,0.84375,"Eagle ANVSA, AK",24,9,22,0.916666666666667,0.409090909090909
"411","6440","Eek ANVSA, AK",404,371,397,0.982673267326733,0.934508816120907,"Eek ANVSA, AK",174,165,174,1,0.948275862068966
"412","6445","Egegik ANVSA, AK",39,23,24,0.615384615384615,0.958333333333333,"Egegik ANVSA, AK",54,7,15,0.277777777777778,0.466666666666667
"413","6450","Eklutna ANVSA, AK",62,39,49,0.790322580645161,0.795918367346939,"Eklutna ANVSA, AK",84,42,70,0.833333333333333,0.6
"414","6455","Ekuk ANVSA, AK",2,0,0,0,NA,"Ekuk ANVSA, AK",1,0,0,0,NA
"415","6460","Ekwok ANVSA, AK",111,95,98,0.882882882882883,0.969387755102041,"Ekwok ANVSA, AK",36,31,31,0.861111111111111,1
"416","6470","Elim ANVSA, AK",366,325,340,0.92896174863388,0.955882352941177,"Elim ANVSA, AK",383,371,371,0.968668407310705,1
"417","6480","Emmonak ANVSA, AK",825,759,794,0.962424242424242,0.955919395465995,"Emmonak ANVSA, AK",966,751,885,0.916149068322981,0.848587570621469
"418","6490","Evansville ANVSA, AK",35,9,11,0.314285714285714,0.818181818181818,"Evansville ANVSA, AK",33,0,15,0.454545454545455,0
"419","6495","Eyak ANVSA, AK",134,4,30,0.223880597014925,0.133333333333333,"Eyak ANVSA, AK",206,5,14,0.0679611650485437,0.357142857142857
"420","6500","False Pass ANVSA, AK",394,25,46,0.116751269035533,0.543478260869565,"False Pass ANVSA, AK",151,66,66,0.437086092715232,1
"421","6515","Fort Yukon ANVSA, AK",428,359,391,0.913551401869159,0.918158567774936,"Fort Yukon ANVSA, AK",656,577,619,0.94359756097561,0.932148626817447
"422","6520","Gakona ANVSA, AK",107,42,45,0.420560747663551,0.933333333333333,"Gakona ANVSA, AK",173,61,66,0.38150289017341,0.924242424242424
"423","6525","Galena ANVSA, AK",472,326,347,0.735169491525424,0.939481268011527,"Galena ANVSA, AK",611,393,428,0.700490998363339,0.918224299065421
"424","6530","Gambell ANVSA, AK",640,616,618,0.965625,0.996763754045307,"Gambell ANVSA, AK",569,539,566,0.994727592267135,0.952296819787986
"425","6535","Georgetown ANVSA, AK",1,0,0,0,NA,"Georgetown ANVSA, AK",0,0,0,NA,NA
"426","6540","Golovin ANVSA, AK",175,159,164,0.937142857142857,0.969512195121951,"Golovin ANVSA, AK",181,162,162,0.895027624309392,1
"427","6545","Goodnews Bay ANVSA, AK",258,233,243,0.941860465116279,0.958847736625514,"Goodnews Bay ANVSA, AK",115,112,112,0.973913043478261,1
"428","6550","Grayling ANVSA, AK",210,187,205,0.976190476190476,0.91219512195122,"Grayling ANVSA, AK",173,164,164,0.947976878612717,1
"429","6560","Gulkana ANVSA, AK",121,66,72,0.59504132231405,0.916666666666667,"Gulkana ANVSA, AK",55,26,29,0.527272727272727,0.896551724137931
"430","6570","Hamilton ANVSA, AK",2,0,0,0,NA,"Hamilton ANVSA, AK",0,0,0,NA,NA
"431","6575","Healy Lake ANVSA, AK",24,20,21,0.875,0.952380952380952,"Healy Lake ANVSA, AK",24,24,24,1,1
"432","6585","Holy Cross ANVSA, AK",176,142,169,0.960227272727273,0.840236686390533,"Holy Cross ANVSA, AK",205,195,199,0.970731707317073,0.979899497487437
"433","6590","Hoonah ANVSA, AK",931,455,580,0.622986036519871,0.78448275862069,"Hoonah ANVSA, AK",862,216,360,0.417633410672854,0.6
"434","6595","Hooper Bay ANVSA, AK",1375,1330,1337,0.972363636363636,0.994764397905759,"Hooper Bay ANVSA, AK",903,779,799,0.884828349944629,0.974968710888611
